work_id,tier_id,relation
W3005090698,tier1,hasTier
W4220825103,tier2,hasTier
W3016350077,tier2,hasTier
W3110382400,tier2,hasTier
W4280570469,tier2,hasTier
W4382893389,tier2,hasTier
W4221082304,tier2,hasTier
W4226261637,tier2,hasTier
W4294001681,tier2,hasTier
W3033359651,tier1,hasTier
W3017309630,tier2,hasTier
W2998988705,tier2,hasTier
W3011413344,tier1,hasTier
W3007671504,tier1,hasTier
W4210670259,tier1,hasTier
W3197386930,tier2,hasTier
W3158509501,tier1,hasTier
W3009215254,tier1,hasTier
W3015968582,tier2,hasTier
W3015363306,tier2,hasTier
W3014077108,tier2,hasTier
W3184992463,tier1,hasTier
W4387410180,tier2,hasTier
W3122533633,tier2,hasTier
W3200472081,tier1,hasTier
W3087838915,tier2,hasTier
W4213436894,tier2,hasTier
W3133503807,tier1,hasTier
W3088172122,tier1,hasTier
